unit,year,bribery_official_corruption,racial_profiling,conduct_unbecoming_off_duty,criminal_misconduct,false_arrest,operation_personnel_violations,excessive_force,domestic,use_of_force,money_property,supervisory_responsibilities,traffic,incident,illegal_search,medical,lockup_procedures,unknown,first_amendment,verbal_abuse,drug_alcohol_abuse
6,2012,0,0,0.01063829787234042553,0,0.15159574468085106383,0.2659574468085106383,0,0.02127659574468085106,0.14627659574468085106,0,0,0.03457446808510638298,0,0.24734042553191489362,0,0.07712765957446808511,0,0,0.04521276595744680851,0
25,2001,0,0,0.00966183574879227053,0.03864734299516908213,0.05072463768115942029,0.22705314009661835749,0,0.04830917874396135266,0.26811594202898550725,0,0.0072463768115942029,0.06280193236714975845,0,0.12077294685990338164,0,0.08454106280193236715,0,0,0.08212560386473429952,0
1,2008,0.01418439716312056738,0,0.0319148936170212766,0.02127659574468085106,0.0567375886524822695,0.52127659574468085106,0,0.02836879432624113475,0.13120567375886524823,0.00354609929078014184,0.00354609929078014184,0.02127659574468085106,0,0.07801418439716312057,0,0.07092198581560283688,0,0,0.01063829787234042553,0.00709219858156028369
9,2008,0.00384615384615384615,0.00384615384615384615,0.01153846153846153846,0,0.08076923076923076923,0.41153846153846153846,0,0.03076923076923076923,0.22692307692307692308,0,0.00384615384615384615,0.01153846153846153846,0,0.11923076923076923077,0,0.06538461538461538462,0,0,0.03076923076923076923,0
25,2014,0.01435406698564593301,0,0.004784688995215311,0,0.11961722488038277512,0.28708133971291866029,0,0.00956937799043062201,0.1004784688995215311,0,0.00956937799043062201,0.01913875598086124402,0,0.24880382775119617225,0,0.15789473684210526316,0,0,0.02870813397129186603,0
5,2003,0.00319488817891373802,0,0.00958466453674121406,0,0.0830670926517571885,0.34185303514376996805,0,0.03194888178913738019,0.23003194888178913738,0,0.02875399361022364217,0.00958466453674121406,0,0.09584664536741214058,0,0.09584664536741214058,0,0,0.0670926517571884984,0.00319488817891373802
6,2016,0,0.01739130434782608696,0,0,0.1217391304347826087,0.29565217391304347826,0,0.00869565217391304348,0.18260869565217391304,0.11304347826086956522,0.00869565217391304348,0.0782608695652173913,0,0.0782608695652173913,0,0.08695652173913043478,0,0,0,0.00869565217391304348
11,2007,0.00181488203266787659,0,0.0145190562613430127,0.00362976406533575318,0.15970961887477313975,0.21960072595281306715,0,0.00362976406533575318,0.24682395644283121597,0,0.00362976406533575318,0.01996370235934664247,0,0.19782214156079854809,0,0.10707803992740471869,0,0,0.02177858439201451906,0
7,2010,0,0,0.01020408163265306122,0.00510204081632653061,0.09693877551020408163,0.25510204081632653061,0,0.02806122448979591837,0.31632653061224489796,0,0.01020408163265306122,0.02806122448979591837,0,0.12755102040816326531,0,0.09693877551020408163,0,0,0.02551020408163265306,0
6,2018,0,0.06666666666666666667,0,0.02222222222222222222,0.17777777777777777778,0.26666666666666666667,0,0.02222222222222222222,0.13333333333333333333,0,0,0,0,0.11111111111111111111,0,0.2,0,0,0,0
7,2004,0,0.0043010752688172043,0,0.0129032258064516129,0.07956989247311827957,0.30752688172043010753,0,0.0172043010752688172,0.28817204301075268817,0,0.03225806451612903226,0.0172043010752688172,0,0.13333333333333333333,0,0.06236559139784946237,0,0,0.04301075268817204301,0.00215053763440860215
22,2010,0,0,0.02487562189054726368,0.00497512437810945274,0.08955223880597014925,0.34328358208955223881,0,0.04477611940298507463,0.16915422885572139303,0,0.00995024875621890547,0.01492537313432835821,0,0.16915422885572139303,0,0.0547263681592039801,0,0,0.05970149253731343284,0.01492537313432835821
17,2013,0,0,0.04918032786885245902,0,0.04918032786885245902,0.26229508196721311475,0.03278688524590163934,0.09836065573770491803,0.2950819672131147541,0,0,0.06557377049180327869,0,0.06557377049180327869,0,0.06557377049180327869,0,0,0.01639344262295081967,0
4,2005,0,0,0.01351351351351351351,0.01801801801801801802,0.09459459459459459459,0.26126126126126126126,0,0.05855855855855855856,0.28828828828828828829,0,0.04054054054054054054,0.02702702702702702703,0,0.0990990990990990991,0,0.08108108108108108108,0,0,0.01801801801801801802,0
15,2002,0.00634920634920634921,0,0,0.00952380952380952381,0.13650793650793650794,0.27619047619047619048,0,0.06031746031746031746,0.25396825396825396825,0,0.00634920634920634921,0.03174603174603174603,0,0.0952380952380952381,0,0.05714285714285714286,0,0,0.06666666666666666667,0
